City,id
Allston,1
Boston,2
Brighton,3
Charlestown,4
CHESTNUT HILL,5
Dorchester,6
East Boston,7
Hyde Park,8
Jamaica Plain,9
Mattapan,10
Mission Hill,11
Roslindale,12
Roxbury,13
South Boston,14
West Roxbury,15
